step,edge0,edge1,edge2,edge3,edge4,edge5,edge6,edge7,edge8,edge9,edge10,edge11,edge12,edge13,edge14
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,0.01,1.01,0.01,0.01,0.01,1.0099998807907105,0.01,0.01,0.01,1.01,0.01,0.01,0.01,0.01,0.01
7,0.01,0.010000000000000009,0.01,0.01,0.01,2.0099998807907102,0.01,0.01,0.01,2.01,0.01,0.01,0.01,0.01,0.01
8,1.01,1.01,0.01,1.01,0.01,3.0099998807907102,0.01,1.01,0.01,3.01,0.01,0.01,0.01,1.01,0.01
9,2.01,2.01,1.01,2.01,1.01,4.00999988079071,0.01,2.01,0.01,4.01,0.01,1.01,1.01,2.01,1.0099998807907105
10,3.01,3.01,2.01,3.01,2.01,5.00999988079071,1.01,3.01,1.01,5.01,1.01,2.01,2.01,3.01,2.0099998807907102
