Generation,Best Reward,Avg Reward
0,-7.956411646045531,-11.121176350047728
1,-7.0565421501170675,-9.61198683567317
2,-6.280639253531329,-9.421178141121931
3,-6.280639253531329,-9.09139690081387
4,-6.280639253531329,-8.992507269146563
5,-6.13601591566813,-8.845337361052074
6,-4.063073483237329,-8.715573719788232
7,-4.063073483237329,-8.302429385156373
8,-3.4669755214558604,-7.890654851137132
9,-3.4669755214558604,-7.464184604327255
10,-3.4669755214558604,-7.061829851717902
11,-3.4669755214558604,-6.6323584386511865
12,-3.4669755214558604,-6.341289884190026
13,-3.4669755214558604,-6.003959482958708
14,-3.4669755214558604,-5.702733862081882
15,-3.4669755214558604,-5.482514416694638
16,-3.4669755214558604,-5.336403315266015
17,-3.4669755214558604,-5.092381123103017
18,-3.4669755214558604,-4.868562904131554
19,-3.45358487222313,-4.694914725258445
